run_id,obs_value,variable,unit,method,date,year,doy,dap
SC0072,4.08680761,et,mm/day,Bowen Ratio + Perez,10/10/2014,2014,283,88
SC0072,3.790007969,et,mm/day,Bowen Ratio + Perez,10/11/2014,2014,284,89
SC0072,4.310117346,et,mm/day,Bowen Ratio + Perez,10/14/2014,2014,287,92
SC0072,3.970635787,et,mm/day,Bowen Ratio + Perez,10/15/2014,2014,288,93
SC0072,4.159102201,et,mm/day,Bowen Ratio + Perez,10/17/2014,2014,290,95
SC0072,3.130125363,et,mm/day,Bowen Ratio + Perez,10/22/2014,2014,295,100
SC0072,4.344637952,et,mm/day,Bowen Ratio + Perez,10/25/2014,2014,298,103
SC0072,2.974565775,et,mm/day,Bowen Ratio + Perez,11/05/2014,2014,309,114
SC0072,2.525095434,et,mm/day,Bowen Ratio + Perez,11/08/2014,2014,312,117
SC0072,3.003771798,et,mm/day,Bowen Ratio + Perez,11/09/2014,2014,313,118
SC0072,2.88873784,et,mm/day,Bowen Ratio + Perez,11/10/2014,2014,314,119
SC0072,1.153061316,et,mm/day,Bowen Ratio + Perez,11/11/2014,2014,315,120
SC0072,1.88215281,et,mm/day,Bowen Ratio + Perez,11/13/2014,2014,317,122
SC0072,2.084092389,et,mm/day,Bowen Ratio + Perez,11/14/2014,2014,318,123
SC0072,2.140185794,et,mm/day,Bowen Ratio + Perez,11/15/2014,2014,319,124
SC0072,2.139635654,et,mm/day,Bowen Ratio + Perez,11/17/2014,2014,321,126
SC0072,1.191734451,et,mm/day,Bowen Ratio + Perez,11/19/2014,2014,323,128
SC0072,2.169629663,et,mm/day,Bowen Ratio + Perez,11/27/2014,2014,331,136
SC0072,1.657487242,et,mm/day,Bowen Ratio + Perez,11/28/2014,2014,332,137
SC0072,2.817224744,et,mm/day,Bowen Ratio + Perez,11/29/2014,2014,333,138
SC0072,6.919444661,et,mm/day,Bowen Ratio + Perez,12/01/2014,2014,335,140
SC0072,6.581815452,et,mm/day,Bowen Ratio + Perez,12/02/2014,2014,336,141
SC0072,4.342276371,et,mm/day,Bowen Ratio + Perez,12/03/2014,2014,337,142
SC0072,7.557136887,et,mm/day,Bowen Ratio + Perez,12/17/2014,2014,351,156
SC0072,7.094042918,et,mm/day,Bowen Ratio + Perez,12/24/2014,2014,358,163
SC0072,2.667024594,et,mm/day,Bowen Ratio + Perez,12/25/2014,2014,359,164
SC0072,2.727837122,et,mm/day,Bowen Ratio + Perez,12/26/2014,2014,360,165
SC0072,2.271921058,et,mm/day,Bowen Ratio + Perez,01/07/2015,2015,7,177
SC0072,2.319971664,et,mm/day,Bowen Ratio + Perez,01/10/2015,2015,10,180
SC0072,3.524344663,et,mm/day,Bowen Ratio + Perez,01/27/2015,2015,27,197
SC0072,3.50166715,et,mm/day,Bowen Ratio + Perez,01/30/2015,2015,30,200
SC0072,3.839837574,et,mm/day,Bowen Ratio + Perez,01/31/2015,2015,31,201
SC0072,3.872548635,et,mm/day,Bowen Ratio + Perez,02/06/2015,2015,37,207
SC0072,4.519774201,et,mm/day,Bowen Ratio + Perez,02/07/2015,2015,38,208
SC0072,3.432167231,et,mm/day,Bowen Ratio + Perez,02/19/2015,2015,50,220
SC0072,4.54824163,et,mm/day,Bowen Ratio + Perez,02/21/2015,2015,52,222
SC0072,5.368671231,et,mm/day,Bowen Ratio + Perez,02/22/2015,2015,53,223
SC0072,5.608404299,et,mm/day,Bowen Ratio + Perez,02/23/2015,2015,54,224
SC0072,4.195346179,et,mm/day,Bowen Ratio + Perez,02/28/2015,2015,59,229
SC0072,4.89544922,et,mm/day,Bowen Ratio + Perez,03/01/2015,2015,60,230
SC0072,3.809004501,et,mm/day,Bowen Ratio + Perez,03/02/2015,2015,61,231
SC0072,3.039583001,et,mm/day,Bowen Ratio + Perez,03/26/2015,2015,85,255
SC0072,4.036672693,et,mm/day,Bowen Ratio + Perez,03/30/2015,2015,89,259
SC0072,2.26045301,et,mm/day,Bowen Ratio + Perez,04/15/2015,2015,105,275
SC0072,2.807616304,et,mm/day,Bowen Ratio + Perez,04/17/2015,2015,107,277
SC0072,3.819464103,et,mm/day,Bowen Ratio + Perez,04/19/2015,2015,109,279
SC0072,2.970663857,et,mm/day,Bowen Ratio + Perez,05/02/2015,2015,122,292
SC0072,2.447937951,et,mm/day,Bowen Ratio + Perez,05/04/2015,2015,124,294
